,TractFIPS,City
955,17031839900.0,Chicago
956,17031834800.0,Chicago
957,17031834700.0,Chicago
958,17031835000.0,Chicago
959,17031839800.0,Chicago
960,17031830600.0,Chicago
961,17031830800.0,Chicago
962,17031590700.0,Chicago
963,17031600400.0,Chicago
964,17031510300.0,Chicago
965,17031520100.0,Chicago
966,17031340300.0,Chicago
967,17031340500.0,Chicago
968,17031430200.0,Chicago
969,17031830700.0,Chicago
970,17031700401.0,Chicago
971,17031835100.0,Chicago
972,17031843700.0,Chicago
973,17031838600.0,Chicago
974,17031030603.0,Chicago
975,17031840300.0,Chicago
976,17031832400.0,Chicago
977,17031832900.0,Chicago
978,17031842900.0,Chicago
979,17031843500.0,Chicago
980,17031843100.0,Chicago
981,17031842000.0,Chicago
982,17031831700.0,Chicago
983,17031831100.0,Chicago
984,17031831000.0,Chicago
985,17031831600.0,Chicago
986,17031831500.0,Chicago
987,17031831200.0,Chicago
988,17031842100.0,Chicago
989,17031843300.0,Chicago
990,17031220702.0,Chicago
991,17031831800.0,Chicago
992,17031832300.0,Chicago
993,17031843000.0,Chicago
994,17031430300.0,Chicago
995,17031490902.0,Chicago
996,17031837800.0,Chicago
997,17031031502.0,Chicago
998,17031835500.0,Chicago
999,17031830500.0,Chicago
1000,17031840400.0,Chicago
1001,17031840100.0,Chicago
1002,17031839200.0,Chicago
1003,17031081403.0,Chicago
1004,17031440202.0,Chicago
